Date,Individual,Captured
1-Aug-16,BY.B.,1
1-Aug-16,O..R.,1
1-Aug-16,O..RY,1
1-Aug-16,O..YB,1
1-Aug-16,O.RY.,1
1-Aug-16,O.Y.B,1
1-Aug-16,O.YB.,1
1-Aug-16,OB...,1
1-Aug-16,OB..R,1
1-Aug-16,OR.B.,1
1-Aug-16,OR.Y.,1
1-Aug-16,OY.B.,1
1-Aug-16,RB...,1
1-Aug-16,RO.R.,1
1-Aug-16,Y..RO,1
1-Aug-16,Y..RR,1
1-Aug-16,Y.R.R,1
1-Aug-16,Y.RO.,1
1-Aug-16,Y.RR.,1
1-Aug-16,YB..B,1
1-Aug-16,YO.Y.,1
1-Aug-16,YR..O,1
1-Aug-16,YR..R,1
1-Aug-16,YR.R.,1
1-Aug-16,YR.Y.,1
1-Aug-16,YRR..,1
1-Aug-16,YRY..,1
5-Aug-16,..BYB,1
5-Aug-16,..BYY,1
5-Aug-16,..O..,1
5-Aug-16,..OYB,1
5-Aug-16,..RBR,1
5-Aug-16,..RR.,1
5-Aug-16,..YYB,1
5-Aug-16,.BB.Y,1
5-Aug-16,.BRO.,1
5-Aug-16,.BRR.,1
5-Aug-16,.BYY.,1
5-Aug-16,.OO.O,1
5-Aug-16,.OR.B,1
5-Aug-16,.OR.R,1
5-Aug-16,.ORY.,1
5-Aug-16,.R.BR,1
5-Aug-16,.RB..,1
5-Aug-16,.RB.R,1
5-Aug-16,.RBB.,1
5-Aug-16,.RBR.,1
5-Aug-16,.RO.R,1
5-Aug-16,.RR.B,1
5-Aug-16,.Y..O,1
5-Aug-16,.Y.BY,1
5-Aug-16,.YO..,1
5-Aug-16,.YR.O,1
5-Aug-16,.YR.R,1
5-Aug-16,.YRR.,1
5-Aug-16,B.R.B,1
5-Aug-16,B.R.O,1
5-Aug-16,B.RB.,1
5-Aug-16,B.Y.Y,1
5-Aug-16,BO.R.,1
5-Aug-16,BY..Y,1
5-Aug-16,BYB..,1
5-Aug-16,O..R.,1
5-Aug-16,O.B.R,1
5-Aug-16,O.RR.,1
5-Aug-16,O.Y.B,1
5-Aug-16,OR.Y.,1
5-Aug-16,OY..B,1
5-Aug-16,OY..O,1
